"PlantID","Genotype","Treatment","FW"
"1130KN198","Djamilia","stress",60.9
"1130KN199","Eunova","control",121
"1130KN200","Eunova","control",111.9
"1130KN201","Eunova","control",97.7
"1130KN202","Eunova","control",120.6
"1130KN203","Eunova","control",112.2
"1130KN204","Eunova","control",101.9
"1130KN205","Eunova","control",114.4
"1130KN206","Eunova","control",114.3
"1130KN207","Eunova","control",118.8
"1130KN208","Eunova","stress",53.1
"1130KN209","Eunova","stress",53.6
"1130KN210","Eunova","stress",56.3
"1130KN211","Eunova","stress",54.9
"1130KN212","Eunova","stress",55.5
"1130KN213","Eunova","stress",58.9
"1130KN214","Eunova","stress",56.8
"1130KN215","Eunova","stress",58.3
"1130KN216","Eunova","stress",56.2
"1130KN217","Streif","control",145
"1130KN218","Streif","control",144
"1130KN219","Streif","control",145.8
"1130KN220","Streif","control",139
"1130KN221","Streif","control",133.7
"1130KN222","Streif","control",141.1
"1130KN223","Streif","control",147.5
"1130KN224","Streif","control",143
"1130KN225","Streif","control",138.9
"1130KN226","Streif","stress",75.5
"1130KN227","Streif","stress",75.9
"1130KN228","Streif","stress",77.9
"1130KN229","Streif","stress",76.7
"1130KN230","Streif","stress",79.4
"1130KN231","Streif","stress",76.7
"1130KN232","Streif","stress",77.2
"1130KN233","Streif","stress",81.1
"1130KN234","Streif","stress",77.1
"1130KN235","Ursa","control",118.1
"1130KN236","Ursa","control",122.9
"1130KN237","Ursa","control",115.7
"1130KN238","Ursa","control",114.2
"1130KN239","Ursa","control",116.9
"1130KN240","Ursa","control",126.6
"1130KN241","Ursa","control",119
"1130KN242","Ursa","control",117.8
"1130KN243","Ursa","control",123
"1130KN244","Ursa","stress",66.3
"1130KN245","Ursa","stress",70.4
"1130KN246","Ursa","stress",69
"1130KN247","Ursa","stress",65.2
"1130KN248","Ursa","stress",67.4
"1130KN249","Ursa","stress",68.5
"1130KN250","Ursa","stress",66.1
"1130KN251","Ursa","stress",66.8
"1130KN252","Ursa","stress",68
"1130KN253","Victoriana","control",118.1
"1130KN254","Victoriana","control",132.1
"1130KN255","Victoriana","control",132.3
"1130KN256","Victoriana","control",130.2
"1130KN257","Victoriana","control",130.4
"1130KN258","Victoriana","control",140.6
"1130KN259","Victoriana","control",138.3
"1130KN260","Victoriana","control",127.3
"1130KN261","Victoriana","control",128.3
"1130KN262","Victoriana","stress",79.7
"1130KN263","Victoriana","stress",80.8
"1130KN264","Victoriana","stress",79
"1130KN265","Victoriana","stress",81.2
"1130KN266","Victoriana","stress",78.6
"1130KN267","Victoriana","stress",77.8
"1130KN268","Victoriana","stress",77.5
"1130KN269","Victoriana","stress",80.4
"1130KN270","Victoriana","stress",77.2
"1130KN271","Wiebke","control",150.1
"1130KN272","Wiebke","control",138.5
"1130KN273","Wiebke","control",144
"1130KN274","Wiebke","control",143.1
"1130KN275","Wiebke","control",150.2
"1130KN276","Wiebke","control",141.1
"1130KN277","Wiebke","control",136.7
"1130KN278","Wiebke","control",137.1
"1130KN279","Wiebke","control",147.3
"1130KN280","Wiebke","stress",71.8
"1130KN281","Wiebke","stress",75.7
"1130KN282","Wiebke","stress",75.4
"1130KN283","Wiebke","stress",74.3
"1130KN284","Wiebke","stress",73.3
"1130KN285","Wiebke","stress",71.9
"1130KN286","Wiebke","stress",75.8
"1130KN287","Wiebke","stress",78.6
"1130KN288","Wiebke","stress",77.6
"1130KN289","MorexDH","control",138.3
"1130KN290","MorexDH","control",55.1
"1130KN291","MorexDH","control",137.5
"1130KN292","MorexDH","control",134.6
"1130KN293","MorexDH","control",130.5
"1130KN294","MorexDH","control",137.5
"1130KN295","MorexDH","stress",67
"1130KN296","MorexDH","stress",71
"1130KN297","MorexDH","stress",69.3
"1130KN298","MorexDH","stress",66.9
"1130KN299","MorexDH","stress",65.3
"1130KN300","MorexDH","stress",67.4
"1130KN301","BarkeDH","control",157
"1130KN302","BarkeDH","control",130
"1130KN303","BarkeDH","control",139.3
"1130KN304","BarkeDH","control",141.8
"1130KN305","BarkeDH","control",153.6
"1130KN306","BarkeDH","control",138.3
"1130KN307","BarkeDH","stress",75
"1130KN308","BarkeDH","stress",73.6
"1130KN309","BarkeDH","stress",81
"1130KN310","BarkeDH","stress",80.8
"1130KN311","BarkeDH","stress",78.7
"1130KN312","BarkeDH","stress",83.3
"1137KN001","Apex","control",94.64
"1137KN002","Apex","control",107.16
"1137KN003","Apex","control",99.31
"1137KN004","Apex","control",98.01
"1137KN005","Apex","control",112.08
"1137KN006","Apex","control",115.19
"1137KN007","Apex","control",119.32
"1137KN008","Apex","control",119.33
"1137KN009","Apex","control",91.22
"1137KN010","Apex","stress",73.85
"1137KN011","Apex","stress",73.51
"1137KN012","Apex","stress",67.11
"1137KN013","Apex","stress",67.19
"1137KN014","Apex","stress",73.42
"1137KN015","Apex","stress",72.03
"1137KN016","Apex","stress",64.25
"1137KN017","Apex","stress",73.02
"1137KN018","Apex","stress",70.84
"1137KN019","Isaria","control",127.52
"1137KN020","Isaria","control",123.83
"1137KN021","Isaria","control",123.42
"1137KN022","Isaria","control",119.3
"1137KN023","Isaria","control",120.31
"1137KN024","Isaria","control",126.44
"1137KN025","Isaria","control",105.41
"1137KN026","Isaria","control",121.02
"1137KN027","Isaria","control",122.94
"1137KN028","Isaria","stress",84.37
"1137KN029","Isaria","stress",83.96
"1137KN030","Isaria","stress",84.13
"1137KN031","Isaria","stress",83.99
"1137KN032","Isaria","stress",84.19
"1137KN033","Isaria","stress",81.95
"1137KN034","Isaria","stress",84.71
"1137KN035","Isaria","stress",82.85
"1137KN036","Isaria","stress",83.99
"1137KN037","Perun","control",91.99
"1137KN038","Perun","control",98.1
"1137KN039","Perun","control",116.66
"1137KN040","Perun","control",116.09
"1137KN041","Perun","control",121.94
"1137KN042","Perun","control",107.69
"1137KN043","Perun","control",111.02
"1137KN044","Perun","control",112.43
"1137KN045","Perun","control",106.27
"1137KN046","Perun","stress",68.66
"1137KN047","Perun","stress",68.43
"1137KN048","Perun","stress",67.07
"1137KN049","Perun","stress",69.07
"1137KN050","Perun","stress",71.05
"1137KN051","Perun","stress",64
"1137KN052","Perun","stress",66.59
"1137KN053","Perun","stress",65.51
"1137KN054","Perun","stress",65.04
"1137KN055","Sissy","control",111.24
"1137KN056","Sissy","control",123.44
"1137KN057","Sissy","control",113.19
"1137KN058","Sissy","control",116.3
"1137KN059","Sissy","control",126.05
"1137KN060","Sissy","control",129.01
"1137KN061","Sissy","control",
"1137KN062","Sissy","control",117.03
"1137KN063","Sissy","control",112.89
"1137KN064","Sissy","stress",78.56
"1137KN065","Sissy","stress",76.79
"1137KN066","Sissy","stress",78.67
"1137KN067","Sissy","stress",69.85
"1137KN068","Sissy","stress",67.48
"1137KN069","Sissy","stress",78.4
"1137KN070","Sissy","stress",80.64
"1137KN071","Sissy","stress",75.6
"1137KN072","Sissy","stress",84.22
"1137KN073","Trumpf","control",92.51
"1137KN074","Trumpf","control",128.28
"1137KN075","Trumpf","control",116.36
"1137KN076","Trumpf","control",125.22
"1137KN077","Trumpf","control",120.83
"1137KN078","Trumpf","control",116.23
"1137KN079","Trumpf","control",126.47
"1137KN080","Trumpf","control",120.4
"1137KN081","Trumpf","control",123.63
"1137KN082","Trumpf","stress",85.93
"1137KN083","Trumpf","stress",45.4
"1137KN084","Trumpf","stress",90.47
"1137KN085","Trumpf","stress",84.43
"1137KN086","Trumpf","stress",84.77
"1137KN087","Trumpf","stress",85.39
"1137KN088","Trumpf","stress",85.52
"1137KN089","Trumpf","stress",84.62
"1137KN090","Trumpf","stress",83.12
"1137KN091","Franken","control",110.53
"1137KN092","Franken","control",107.5
"1137KN093","Franken","control",114.39
"1137KN094","Franken","control",79.26
"1137KN095","Franken","control",114.19
"1137KN096","Franken","control",120.18
"1137KN097","Franken","control",98.15
"1137KN098","Franken","control",108.65
"1137KN099","Franken","control",111.86
"1137KN100","Franken","stress",80.92
"1137KN101","Franken","stress",75.9
"1137KN102","Franken","stress",80.72
"1137KN103","Franken","stress",77.79
"1137KN104","Franken","stress",71.08
"1137KN105","Franken","stress",81.18
"1137KN106","Franken","stress",72.4
"1137KN107","Franken","stress",73.59
"1137KN108","Franken","stress",81.56
"1137KN109","Intensiv","control",77.8
"1137KN110","Intensiv","control",113.51
"1137KN111","Intensiv","control",121.62
"1137KN112","Intensiv","control",119.68
"1137KN113","Intensiv","control",122.54
"1137KN114","Intensiv","control",112.85
"1137KN115","Intensiv","control",126.82
"1137KN116","Intensiv","control",116.07
"1137KN117","Intensiv","control",116.8
"1137KN118","Intensiv","stress",76.29
"1137KN119","Intensiv","stress",81.03
"1137KN120","Intensiv","stress",81.42
"1137KN121","Intensiv","stress",79.87
